Organization
Advancing Women in Entrepreneurship (AWE)
Miami Advertising Club
Alpha Kappa Psi
Asset Management Club
Beta Alpha Psi
Blockchain Club
Business Student Advisory Council (BSAC)
Center for Business Leadership
Commercial Banking Club
Delta Sigma Pi
Economics Club
First Miami Student Credit Union (FMSCU)
Futures in Retail
Global Business Brigades
Healthcare Business Sales Organization
Hedge Fund Club
Information Systems and Analytics Organization (ISAO)
International Student Advisory Council (ISAC)
Miami University Investment Banking Club
Miami Business Consulting
Miami Business Enterprises
Miami Finance Association
Miami Management and Leadership (MML)
Miami University Community for Creativity and Innovation (MUCCI)
Personal Finance Club
Phi Chi Theta
Phi Gamma Nu
Pi Sigma Epsilon
Real Estate Club
Redhawk Racing
Side Hustle Club
Social Impact Fund
Society for Human Resource Management (SHRM)
Supply Chain Management Association (SCMA)
Toastmasters
Women in Accounting
Women in Business
Women in Economics
Women in Finance
Women in ISA
Women Who Invest
